,IDENTIFIER,DAYS_ENGAGED,APPS_USED
3492,285853,3,5.0
3500,226981,3,3.0
3506,102726,3,5.0
3507,180746,8,15.0
3510,134750,13,3.0
3512,118873,5,7.0
3513,245185,8,7.0
3519,264006,7,23.0
3522,146872,5,6.0
3523,224056,7,9.0
3524,161501,12,25.0
3525,105534,2,3.0
3526,315472,18,18.0
3539,125262,7,9.0
3547,108013,10,11.0
3551,234008,1,1.0
3552,243111,1,1.0
3553,209342,4,7.0
3559,303882,4,5.0
3561,136645,1,
3562,123868,2,8.0
3569,259871,8,11.0
3570,116102,5,4.0
3571,220005,1,1.0
3573,218865,5,11.0
3579,323689,3,7.0
3585,317512,11,12.0
3586,276024,3,1.0
3589,309694,9,5.0
3590,270059,4,6.0
3591,116659,4,3.0
3598,108630,15,30.0
3605,317489,5,10.0
3608,271397,7,15.0
3613,127651,10,16.0
3618,181023,4,10.0
3626,252341,12,15.0
3628,118325,3,10.0
3635,237621,2,12.0
3646,137425,8,12.0
3648,258147,4,11.0
3652,179686,5,16.0
3656,302447,15,53.0
3666,159216,1,3.0
3677,279196,6,12.0
3689,168370,5,10.0
3691,322591,16,27.0
3697,147561,4,8.0
3699,189640,8,11.0
3700,151979,4,12.0
3701,262416,4,4.0
3704,311905,3,2.0
3707,112627,4,5.0
3709,106393,7,15.0
3720,178854,12,13.0
3722,321298,5,4.0
3724,277334,3,
3727,227713,11,14.0
3734,204480,4,8.0
3736,304064,3,3.0
3741,224081,4,8.0
3742,314758,6,6.0
3748,269703,1,1.0
3755,111324,14,26.0
3760,261936,9,9.0
3764,318663,2,3.0
3771,211938,14,29.0
3776,274963,8,16.0
3778,191811,3,
3780,223572,2,1.0
3782,260705,6,10.0
3785,320941,2,4.0
3789,165264,4,5.0
3790,187413,7,9.0
3795,123442,6,2.0
3799,137579,9,17.0
3805,210996,4,4.0
3809,310362,3,3.0
3815,126708,5,6.0
3819,288604,3,3.0
3826,261479,3,2.0
3830,229691,8,10.0
3832,218458,5,1.0
3837,188798,8,2.0
3846,100808,6,7.0
3850,207573,5,7.0
3867,156904,4,
3879,317588,3,1.0
3883,121642,4,10.0
3885,160036,11,20.0
3888,173380,3,3.0
3893,274148,4,2.0
3900,133304,13,21.0
3904,285392,20,129.0
3906,279098,10,7.0
3907,226795,11,9.0
3914,117683,11,25.0
3915,127406,3,3.0
3917,307523,4,6.0
3918,200754,2,1.0
3919,166603,14,14.0
3921,114963,2,4.0
3923,101584,25,48.0
3927,166498,16,28.0
3929,262804,6,6.0
3930,273031,6,2.0
3931,118574,7,8.0
3934,238789,3,5.0
3939,240392,9,10.0
3940,287951,2,2.0
3942,215609,6,7.0
3943,259674,5,9.0
3944,175508,5,1.0
3950,271553,13,16.0
3954,185162,17,8.0
3960,107959,3,2.0
3963,166991,1,2.0
3969,213354,3,6.0
3970,252245,9,16.0
3976,182669,5,7.0
3978,162755,9,12.0
3980,279413,1,
3986,100295,2,5.0
3992,119216,17,23.0
3994,137559,4,2.0
3996,238554,1,1.0
3998,281404,1,1.0
4003,284872,2,2.0
4004,127897,9,13.0
4005,305038,7,22.0
4006,232127,3,4.0
4010,214689,18,42.0
4018,241277,10,7.0
4025,155869,13,12.0
4027,294822,2,8.0
4029,166229,7,4.0
4032,187387,1,
4035,127309,20,47.0
4037,257380,14,11.0
4038,299187,8,12.0
4043,287998,6,19.0
4045,308094,16,13.0
4047,280593,10,5.0
4057,141441,13,19.0
4058,242014,6,4.0
4059,310513,4,5.0
4061,294307,1,2.0
4062,295915,16,17.0
4063,189108,1,
4068,108798,8,10.0
4072,135661,2,3.0
4075,188988,3,2.0
4077,204270,8,10.0
4088,269353,12,16.0
4089,102274,15,21.0
4103,130802,18,22.0
4104,313227,2,1.0
4105,123630,10,14.0
4107,223911,4,3.0
4111,112978,5,8.0
4113,296894,4,3.0
4118,253533,11,16.0
4123,203121,3,4.0
4127,140794,4,14.0
4130,228501,8,6.0
4136,206490,1,
4139,161159,1,5.0
4141,263300,5,
4142,321072,4,5.0
4143,318631,4,6.0
4144,322389,18,49.0
4145,249903,13,14.0
4153,317260,2,
4157,318031,6,3.0
4159,296975,8,7.0
4164,231537,6,11.0
4167,226191,2,3.0
4169,128739,8,10.0
4176,268741,9,2.0
4183,104003,1,3.0
4184,215997,16,24.0
4186,132431,12,27.0
4190,293373,2,
4193,305210,4,7.0
4197,276606,2,1.0
4205,231554,16,26.0
4208,165704,1,
4210,121485,18,8.0
4218,201071,3,3.0
4223,279826,9,17.0
4226,113422,1,
4227,246034,3,3.0
4232,234888,2,2.0
4233,257296,3,2.0
4236,262653,4,1.0
4358,112643,1,2.0
4359,156857,8,10.0
4360,298011,1,7.0
4362,211992,14,13.0
4364,206334,2,2.0
4375,116609,9,15.0
4377,111296,2,5.0
4378,253270,9,25.0
4384,145302,4,6.0
4390,314285,10,29.0
4392,224922,3,9.0
4397,129984,6,7.0
4399,268842,5,4.0
4400,124387,5,6.0
4403,157181,13,10.0
4404,253151,4,6.0
4406,142448,7,4.0
4407,322321,8,4.0
4413,101479,10,11.0
4418,129220,4,8.0
4421,293234,3,6.0
4422,113412,1,
4428,320697,10,15.0
4434,183480,6,6.0
