iter	Passed	Remaining
941	3397	209
942	3401	205
943	3403	201
944	3407	198
945	3409	194
946	3413	191
947	3415	187
948	3419	183
949	3421	180
950	3425	176
951	3427	172
952	3430	169
953	3433	165
954	3436	161
955	3439	158
956	3442	154
957	3444	151
958	3448	147
959	3450	143
960	3453	140
961	3456	136
962	3459	132
963	3461	129
964	3465	125
965	3467	122
966	3471	118
967	3473	114
968	3477	111
969	3480	107
970	3484	104
971	3489	100
972	3492	96
973	3495	93
974	3498	89
975	3501	86
976	3505	82
977	3507	78
978	3511	75
979	3514	71
980	3518	68
981	3520	64
982	3524	60
983	3526	57
984	3530	53
985	3533	50
986	3536	46
987	3538	42
988	3542	39
989	3545	35
990	3548	32
991	3550	28
992	3552	25
993	3554	21
994	3558	17
995	3561	14
996	3564	10
997	3567	7
998	3571	3
999	3573	0
